duracao,ciclo,faixa_etaria,cronico,composicao_titular,especialidade,uso,total_contratos,churners,churn_rate
6,2o+,51-70,S,com_crianca,ginecologia,nao_usou,587,221,37.6
6,2o+,51-70,S,com_idoso,ginecologia,nao_usou,1723,625,36.3
6,2o+,51-70,S,solo,ginecologia,nao_usou,2419,1043,43.1
6,2o+,71+,N,com_ambos,ginecologia,nao_usou,138,51,37.0
6,2o+,71+,N,com_crianca,ginecologia,nao_usou,178,84,47.2
6,2o+,71+,N,com_idoso,ginecologia,nao_usou,913,377,41.3
6,2o+,71+,N,solo,ginecologia,nao_usou,1141,501,43.9
6,2o+,71+,S,com_ambos,ginecologia,nao_usou,106,39,36.8
6,2o+,71+,S,com_crianca,ginecologia,nao_usou,98,43,43.9
6,2o+,71+,S,com_idoso,ginecologia,nao_usou,553,186,33.6
6,2o+,71+,S,solo,ginecologia,nao_usou,727,305,42.0
6,1o,00-20,N,com_crianca,ortopedia,nao_usou,119,72,60.5
6,1o,00-20,N,com_idoso,ortopedia,nao_usou,58,38,65.5
6,1o,00-20,N,solo,ortopedia,nao_usou,485,325,67.0
6,1o,21-30,N,com_ambos,ortopedia,nao_usou,191,105,55.0
6,1o,21-30,N,com_ambos,ortopedia,usou,45,21,46.7
6,1o,21-30,N,com_crianca,ortopedia,nao_usou,1249,807,64.6
6,1o,21-30,N,com_crianca,ortopedia,usou,102,65,63.7
6,1o,21-30,N,com_idoso,ortopedia,nao_usou,884,519,58.7
6,1o,21-30,N,com_idoso,ortopedia,usou,125,69,55.2
6,1o,21-30,N,solo,ortopedia,nao_usou,5756,3877,67.4
6,1o,21-30,N,solo,ortopedia,usou,414,259,62.6
6,1o,21-30,S,com_crianca,ortopedia,nao_usou,34,24,70.6
6,1o,21-30,S,com_idoso,ortopedia,nao_usou,43,20,46.5
6,1o,21-30,S,solo,ortopedia,nao_usou,163,104,63.8
6,1o,31-50,N,com_ambos,ortopedia,nao_usou,1782,939,52.7
6,1o,31-50,N,com_ambos,ortopedia,usou,299,165,55.2
6,1o,31-50,N,com_crianca,ortopedia,nao_usou,5204,2999,57.6
6,1o,31-50,N,com_crianca,ortopedia,usou,603,368,61.0
6,1o,31-50,N,com_idoso,ortopedia,nao_usou,3186,1753,55.0
6,1o,31-50,N,com_idoso,ortopedia,usou,523,261,49.9
6,1o,31-50,N,solo,ortopedia,nao_usou,10974,6653,60.6
6,1o,31-50,N,solo,ortopedia,usou,1212,757,62.5
6,1o,31-50,S,com_ambos,ortopedia,nao_usou,196,104,53.1
6,1o,31-50,S,com_ambos,ortopedia,usou,45,18,40.0
6,1o,31-50,S,com_crianca,ortopedia,nao_usou,517,266,51.5
6,1o,31-50,S,com_crianca,ortopedia,usou,82,40,48.8
6,1o,31-50,S,com_idoso,ortopedia,nao_usou,345,187,54.2
6,1o,31-50,S,com_idoso,ortopedia,usou,71,42,59.2
6,1o,31-50,S,solo,ortopedia,nao_usou,1275,729,57.2
6,1o,31-50,S,solo,ortopedia,usou,142,70,49.3
6,1o,51-70,N,com_ambos,ortopedia,nao_usou,694,341,49.1
6,1o,51-70,N,com_ambos,ortopedia,usou,169,82,48.5
6,1o,51-70,N,com_crianca,ortopedia,nao_usou,1523,780,51.2
6,1o,51-70,N,com_crianca,ortopedia,usou,262,137,52.3
6,1o,51-70,N,com_idoso,ortopedia,nao_usou,2878,1429,49.7
6,1o,51-70,N,com_idoso,ortopedia,usou,581,289,49.7
6,1o,51-70,N,solo,ortopedia,nao_usou,6666,3623,54.4
6,1o,51-70,N,solo,ortopedia,usou,1126,622,55.2
6,1o,51-70,S,com_ambos,ortopedia,nao_usou,186,87,46.8
6,1o,51-70,S,com_ambos,ortopedia,usou,58,20,34.5
6,1o,51-70,S,com_crianca,ortopedia,nao_usou,438,220,50.2
6,1o,51-70,S,com_crianca,ortopedia,usou,69,28,40.6
6,1o,51-70,S,com_idoso,ortopedia,nao_usou,983,446,45.4
6,1o,51-70,S,com_idoso,ortopedia,usou,253,111,43.9
6,1o,51-70,S,solo,ortopedia,nao_usou,2348,1233,52.5
6,1o,51-70,S,solo,ortopedia,usou,360,189,52.5
6,1o,71+,N,com_ambos,ortopedia,nao_usou,83,39,47.0
6,1o,71+,N,com_crianca,ortopedia,nao_usou,145,71,49.0
6,1o,71+,N,com_idoso,ortopedia,nao_usou,683,322,47.1
6,1o,71+,N,com_idoso,ortopedia,usou,125,57,45.6
6,1o,71+,N,solo,ortopedia,nao_usou,1356,707,52.1
6,1o,71+,N,solo,ortopedia,usou,210,99,47.1
6,1o,71+,S,com_ambos,ortopedia,nao_usou,36,14,38.9
6,1o,71+,S,com_crianca,ortopedia,nao_usou,69,33,47.8
6,1o,71+,S,com_idoso,ortopedia,nao_usou,320,158,49.4
6,1o,71+,S,com_idoso,ortopedia,usou,64,32,50.0
6,1o,71+,S,solo,ortopedia,nao_usou,700,352,50.3
6,1o,71+,S,solo,ortopedia,usou,104,55,52.9
6,2o+,00-20,N,com_crianca,ortopedia,nao_usou,51,23,45.1
6,2o+,00-20,N,com_idoso,ortopedia,nao_usou,31,17,54.8
6,2o+,00-20,N,solo,ortopedia,nao_usou,191,110,57.6
6,2o+,21-30,N,com_ambos,ortopedia,nao_usou,245,94,38.4
6,2o+,21-30,N,com_crianca,ortopedia,nao_usou,646,345,53.4
6,2o+,21-30,N,com_idoso,ortopedia,nao_usou,730,331,45.3
6,2o+,21-30,N,solo,ortopedia,nao_usou,2494,1315,52.7
6,2o+,21-30,S,com_crianca,ortopedia,nao_usou,30,12,40.0
6,2o+,21-30,S,solo,ortopedia,nao_usou,87,48,55.2
6,2o+,31-50,N,com_ambos,ortopedia,nao_usou,1984,880,44.4
6,2o+,31-50,N,com_crianca,ortopedia,nao_usou,3939,1892,48.0
6,2o+,31-50,N,com_idoso,ortopedia,nao_usou,3263,1357,41.6
6,2o+,31-50,N,solo,ortopedia,nao_usou,6634,3299,49.7
