duracao,contrato,dependentes,faixa_idade,cronico,canal,classe,total_contratos,churners,churn_rate
6,2o+,sem_dep,31-50,S,presencial_cfp,CDE,146,70,47.9
6,1o,1-2_dep,71+,N,digital,CDE,134,64,47.8
6,2o+,1-2_dep,51-70,N,digital,CDE,481,230,47.8
6,1o,3+_dep,51-70,N,digital,AB,433,207,47.8
12,2o+,3+_dep,51-70,N,digital,CDE,233,111,47.6
6,1o,3+_dep,71+,S,presencial_cfp,CDE,101,48,47.5
6,2o+,1-2_dep,31-50,N,digital,AB,1073,509,47.4
6,2o+,3+_dep,00-30,N,digital,CDE,416,197,47.4
6,1o,3+_dep,71+,N,digital,CDE,55,26,47.3
12,2o+,3+_dep,51-70,S,presencial_cfp,AB,1149,544,47.3
6,1o,3+_dep,51-70,S,digital,AB,186,88,47.3
6,2o+,sem_dep,31-50,S,presencial_cfp,AB,191,90,47.1
6,1o,3+_dep,51-70,N,presencial_cfp,AB,1100,515,46.8
12,2o+,1-2_dep,51-70,S,digital,CDE,77,36,46.8
6,1o,3+_dep,71+,S,presencial_cfp,AB,109,51,46.8
6,2o+,1-2_dep,31-50,N,presencial_cfp,AB,1778,830,46.7
6,1o,1-2_dep,71+,S,digital,CDE,60,28,46.7
6,1o,3+_dep,31-50,S,presencial_cfp,AB,182,85,46.7
6,2o+,1-2_dep,51-70,N,presencial_cfp,CDE,2075,970,46.7
6,2o+,sem_dep,71+,N,presencial_cfp,AB,384,179,46.6
12,2o+,1-2_dep,71+,S,presencial_cfp,CDE,268,124,46.3
6,1o,3+_dep,31-50,S,presencial_cfp,CDE,282,130,46.1
6,1o,3+_dep,51-70,S,digital,CDE,161,74,46.0
12,2o+,1-2_dep,51-70,N,digital,AB,208,95,45.7
6,2o+,sem_dep,71+,S,presencial_cfp,AB,258,117,45.3
6,1o,3+_dep,51-70,S,presencial_cfp,AB,434,196,45.2
6,2o+,sem_dep,51-70,N,presencial_cfp,AB,1146,518,45.2
6,2o+,1-2_dep,31-50,S,presencial_cfp,CDE,343,154,44.9
12,2o+,3+_dep,51-70,S,presencial_cfp,CDE,1116,501,44.9
12,2o+,3+_dep,51-70,S,digital,CDE,143,64,44.8
6,2o+,sem_dep,51-70,S,presencial_cfp,CDE,519,232,44.7
6,2o+,3+_dep,00-30,N,presencial_cfp,CDE,510,227,44.5
6,2o+,3+_dep,31-50,N,digital,CDE,1228,546,44.5
12,2o+,3+_dep,71+,S,presencial_cfp,AB,359,159,44.3
6,2o+,1-2_dep,51-70,N,digital,AB,558,246,44.1
6,2o+,sem_dep,51-70,S,presencial_cfp,AB,625,275,44.0
6,2o+,1-2_dep,51-70,N,presencial_cfp,AB,1760,773,43.9
6,2o+,3+_dep,71+,N,presencial_cfp,CDE,246,107,43.5
6,2o+,1-2_dep,51-70,S,digital,CDE,182,79,43.4
6,2o+,1-2_dep,71+,N,presencial_cfp,CDE,419,181,43.2
6,2o+,3+_dep,31-50,N,presencial_cfp,AB,1720,743,43.2
6,2o+,1-2_dep,71+,N,digital,CDE,98,42,42.9
6,2o+,sem_dep,71+,S,presencial_cfp,CDE,185,79,42.7
6,2o+,3+_dep,31-50,N,digital,AB,999,426,42.6
6,2o+,3+_dep,31-50,N,presencial_cfp,CDE,2842,1195,42.0
6,2o+,1-2_dep,71+,N,presencial_cfp,AB,492,206,41.9
6,2o+,1-2_dep,51-70,S,digital,AB,252,105,41.7
6,2o+,3+_dep,00-30,N,digital,AB,269,112,41.6
6,1o,3+_dep,51-70,S,presencial_cfp,CDE,464,193,41.6
6,2o+,3+_dep,00-30,N,presencial_cfp,AB,313,129,41.2
6,2o+,1-2_dep,31-50,S,digital,AB,144,59,41.0
6,2o+,1-2_dep,71+,S,presencial_cfp,CDE,252,103,40.9
12,1o,3+_dep,71+,S,digital,AB,72,29,40.3
6,2o+,1-2_dep,51-70,S,presencial_cfp,AB,851,341,40.1
6,2o+,3+_dep,71+,N,presencial_cfp,AB,297,119,40.1
6,2o+,3+_dep,31-50,S,presencial_cfp,AB,300,120,40.0
6,2o+,1-2_dep,51-70,S,presencial_cfp,CDE,874,343,39.2
6,2o+,3+_dep,51-70,N,presencial_cfp,CDE,1960,767,39.1
6,1o,3+_dep,71+,N,presencial_cfp,AB,220,85,38.6
6,2o+,3+_dep,51-70,N,digital,CDE,427,164,38.4
6,2o+,3+_dep,51-70,N,presencial_cfp,AB,1631,619,38.0
6,2o+,1-2_dep,71+,S,presencial_cfp,AB,320,121,37.8
6,2o+,3+_dep,71+,S,presencial_cfp,CDE,207,78,37.7
6,2o+,3+_dep,71+,N,digital,AB,55,20,36.4
6,2o+,3+_dep,51-70,S,presencial_cfp,CDE,817,297,36.4
6,2o+,3+_dep,51-70,N,digital,AB,488,174,35.7
6,2o+,3+_dep,31-50,S,presencial_cfp,CDE,417,148,35.5
6,2o+,3+_dep,51-70,S,digital,AB,252,89,35.3
6,2o+,sem_dep,71+,N,digital,AB,71,25,35.2
6,2o+,3+_dep,51-70,S,presencial_cfp,AB,844,287,34.0
6,2o+,3+_dep,31-50,S,digital,AB,124,42,33.9
6,2o+,3+_dep,31-50,S,digital,CDE,164,55,33.5
6,2o+,3+_dep,51-70,S,digital,CDE,174,58,33.3
6,2o+,3+_dep,71+,S,presencial_cfp,AB,208,64,30.8
