contract_id,desfecho,dias_ate_proximo,next_is_gratis
c3611e20-b677-11ef-82c2-6bf89d99e83c-1,voltou_pago,11,false
c3617440-ed94-11ed-94bc-a91a4ba898e9-2,saiu_de_vez,,
c361c180-6bbd-11f0-a616-539ff6cc8b94-1,saiu_de_vez,,
c361e1a0-2638-11ee-9a39-7daee60cc0a0-2,migrou_gratis,17,true
c36280f0-c675-11ee-9c63-a7bd76e31c29-1,migrou_gratis,17,true
c3629c70-3dc7-11ee-91a8-e9fc1e3be841-2,saiu_de_vez,,
c3630f70-51f2-11f0-85aa-3bb990048e82-1,migrou_gratis,17,true
c3631370-fe12-11ed-b848-176dc0c1ce6e-1,voltou_pago,133,false
c3631440-49ea-11ef-875f-8da5611a50fd-1,migrou_gratis,17,true
c3631ff0-f233-11ec-b15d-5f5a8179ded8-1,voltou_pago,10,false
c3635ee0-216f-11ee-891d-79df55a5b164-2,migrou_gratis,17,true
c3637510-dcf8-11ef-a9ed-d52a5bd01a4a-1,voltou_pago,2,false
c3642c00-7b31-11ee-b561-5bb180a21057-5,saiu_de_vez,,
c3647c40-15d3-11ef-a1b1-275bd402d825-1,migrou_gratis,17,true
c364e040-017d-11eb-9aba-97872ac0d638-3,saiu_de_vez,,
c3658b90-bf34-11ed-91e8-d5fd1404b800-1,voltou_pago,12,false
c365e0f0-1ff0-11ee-9901-dd7e3219413a-1,saiu_de_vez,,
c3662f90-d7e5-11ed-8318-a597751972d5-1,voltou_pago,37,false
c3667c50-f922-11eb-9507-5352a0c9ca04-2,saiu_de_vez,,
c366c970-c429-11ed-8be6-1742d54e4ea1-2,voltou_pago,72,false
c36737d0-2b25-11ee-8586-69a0c4293017-1,voltou_pago,364,false
c3674c90-a978-11ed-9641-93b8485d14f8-1,saiu_de_vez,,
c367e150-1d69-11ed-bbde-39e65cbbf823-3,voltou_pago,171,false
c367fc60-7d7d-11ee-899b-7d45f9f45646-1,migrou_gratis,17,true
c3680e90-eb12-11ef-8147-cd3ca8760e85-1,saiu_de_vez,,
c3683ae0-37aa-11ee-929a-891251704543-2,saiu_de_vez,,
c3683fd0-00c2-11f0-ab84-4f10e14b93ef-1,migrou_gratis,17,true
c3686740-0324-11ef-8176-d560cc9dcbe3-1,saiu_de_vez,,
c3687eb0-f255-11ec-9ae0-b346eb29d296-2,voltou_pago,6,false
c3689a60-5e49-11ee-b05a-81ef769b67c3-1,saiu_de_vez,,
c368b630-1e28-11f0-a4be-391ac6fc0958-1,saiu_de_vez,,
c3698f30-25ec-11f0-8170-d1dcc9262eba-1,saiu_de_vez,,
c369a870-1753-11ee-8473-459b750c0db8-1,migrou_gratis,17,true
c369d0c0-d517-11ee-888d-43d702b4d689-1,voltou_pago,277,false
c369e2b0-ed26-11ed-9067-e5e3c7639181-1,migrou_gratis,16,true
c36a12a0-1cae-11ee-9f90-95de3174675f-1,saiu_de_vez,,
c36a34b0-ac97-11ed-92ac-b70f666e42ef-1,saiu_de_vez,,
c36a4150-bf46-11ed-8779-cf98f229b884-1,migrou_gratis,16,true
