contract_id,churn_original,churn_v4,churn_v5,churn_pm,desfecho_final,score_v4,score_v5,score_pm,faixa_5_v4,faixa_5_v5,faixa_5_pm,faixa_7_v4,faixa_7_v5,faixa_7_pm
175db030-8011-11ef-98ad-5516cc277470-2,0,0,0,0,,822,652,733,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
1862b200-7fee-11ef-b964-755a5cfdb4e9-2,0,0,0,0,,745,552,566,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
1895f730-0dad-11f0-9518-a754b57ecb39-1,1,0,1,1,gratis_saiu,528,510,513,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO,MEDIO
1907f8d0-0e2f-11f0-9988-2dbc3f72fd22-1,1,0,1,1,gratis_saiu,761,407,469,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
19178da0-7fef-11ef-8072-ed34493fed86-1,0,0,0,0,,758,447,497,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
196dbfb0-0e54-11f0-8057-77118589a7a5-1,1,0,1,1,gratis_saiu,821,565,640,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
19c193d0-7ff0-11ef-9a03-23df96a25dde-2,0,0,0,0,,855,694,758,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
1a0b1440-0f1c-11f0-8966-079bd0c5de40-1,0,0,0,0,,757,410,452,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
1a46c750-0e64-11f0-b233-21c5d8738cae-1,1,0,1,1,gratis_saiu,791,602,644,BAIXO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
1a4bb5e0-0e4f-11f0-bd48-559b9cd5b525-1,1,1,1,0,voltou_pago,587,488,566,MEDIO,MEDIO,MEDIO,BAIXO,MEDIO,MEDIO
1a654ee0-0d7f-11f0-a25c-4711e70a280e-1,1,0,1,1,gratis_saiu,769,464,471,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
1aff6480-0f0a-11f0-bdc7-65c8bc5a4042-1,0,0,0,0,,768,550,650,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
1be97b20-7f67-11ef-899a-b1980dd9b6df-1,1,0,1,1,gratis_saiu,812,463,515,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
1ceea800-0f23-11f0-8f83-e55c71c97ab6-1,0,0,0,0,,809,515,633,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
1e0b61e0-0e8f-11f0-be9a-53701b2340ec-1,0,0,0,0,,785,506,565,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
1e3029d0-7ff6-11ef-bd21-99495832b517-1,0,0,0,0,,845,616,735,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
1e9f4940-804c-11ef-a2ef-bd9773312027-1,0,0,0,0,,859,675,738,SEGURO,BAIXO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
1ef6ad30-0f48-11f0-a69c-fb84ea3eadab-1,0,0,0,0,,728,383,458,BAIXO,ALTO,MEDIO,MUITO BAIXO,ALTO,MEDIO
1fefb460-419c-11ed-8830-c96588f8633d-3,0,0,0,0,,865,703,771,SEGURO,BAIXO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
20891320-cfc3-11ed-8a04-ff233db20396-5,1,0,1,0,gratis_voltou_pago,792,577,587,BAIXO,MEDIO,MEDIO,MUITO BAIXO,BAIXO,BAIXO
209162a0-8007-11ef-a801-4f43a8c110c6-2,0,0,0,0,,831,713,740,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
20ce9cf0-0f05-11f0-bdc7-65c8bc5a4042-1,0,0,0,0,,807,664,731,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
20e913c0-0e4a-11f0-b3f0-7529e9005e98-1,1,0,1,1,gratis_saiu,764,454,472,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
210d6a00-0e5d-11f0-96a5-fd8eab8a69e1-1,1,0,1,1,gratis_saiu,777,553,603,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
21359d80-0f44-11f0-971f-17f2ad00b118-1,0,0,0,0,,782,564,628,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
22328300-7f58-11ef-854e-59e642db5fcc-1,1,0,1,1,gratis_saiu,733,393,442,BAIXO,ALTO,MEDIO,MUITO BAIXO,ALTO,MEDIO
223e15b0-f053-11ee-8fd7-71e1c3a20f0d-3,0,0,0,0,,854,688,727,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
2286e490-7f58-11ef-99c8-8d7d19089d35-1,1,0,1,0,gratis_voltou_pago,804,464,560,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
23056640-0e59-11f0-b241-9333b9d1920b-1,1,0,0,0,voltou_pago,806,507,579,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
231a3ad0-7f1f-11ef-b3a8-1336ae7a3d79-1,1,0,1,0,gratis_voltou_pago,820,547,669,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
235359c0-0f0a-11f0-a152-1d83d629bc74-1,0,0,0,0,,749,434,469,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
239a8050-6067-11ee-8e55-4161591692d1-2,0,0,0,0,,907,654,753,SEGURO,BAIXO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
239db540-6012-11ee-ac3b-31e9daeba17b-4,0,0,0,0,,862,721,818,SEGURO,BAIXO,SEGURO,SEGURO,MUITO BAIXO,MUITO BAIXO
23ebeed0-7f84-11ef-b6cb-b5c0ade0de62-1,1,0,1,1,gratis_saiu,714,354,381,BAIXO,ALTO,ALTO,BAIXO,ALTO,ALTO
2414faa0-7f84-11ef-b6cd-d1d53d8b4540-1,1,0,1,1,gratis_saiu,853,484,562,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
242f9520-ee95-11ee-89f9-f3dfc4e53ac7-3,1,1,1,0,voltou_pago,671,532,573,BAIXO,MEDIO,MEDIO,BAIXO,MEDIO,BAIXO
24418dd0-8011-11ef-98ad-5516cc277470-2,0,0,0,0,,841,690,728,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
2450a7e0-4178-11ed-a682-09945915086a-3,0,0,0,0,,766,485,527,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
254d0310-7f50-11ef-a747-ddacfe2659e4-1,1,0,1,1,gratis_saiu,619,273,303,BAIXO,ALTO,ALTO,BAIXO,MUITO ALTO,ALTO
255a08b0-0d69-11f0-be6f-0d7e8f6f0390-1,1,0,0,0,voltou_pago,743,437,486,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
259256f0-7ff4-11ef-aae6-936968d62654-1,0,0,0,0,,702,368,411,BAIXO,ALTO,MEDIO,BAIXO,ALTO,ALTO
25f30d60-0db6-11f0-a364-b923cc4eefef-1,1,0,1,1,gratis_saiu,743,437,486,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
26dbc710-8019-11ef-9b8e-ff16c73ef3e8-2,0,0,0,0,,879,784,857,SEGURO,BAIXO,SEGURO,SEGURO,MUITO BAIXO,MUITO BAIXO
27ffab70-800a-11ef-9370-6def14bf9ef8-2,0,0,0,0,,882,793,855,SEGURO,BAIXO,SEGURO,SEGURO,MUITO BAIXO,MUITO BAIXO
2861da30-5fa8-11ee-ab6b-1902b2287c80-2,1,0,1,1,gratis_saiu,845,626,747,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
28801470-ee9e-11ee-a62c-77b45c2e5976-3,1,0,1,0,gratis_voltou_pago,830,636,786,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
293cc010-0e38-11f0-8727-ad1387baba34-1,1,1,1,1,saiu_de_vez,785,506,565,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
294d7860-0e79-11f0-ad2b-cd126c45824a-1,1,0,1,1,gratis_saiu,753,411,467,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
295cf790-0f0f-11f0-9149-8fc35b7fce50-1,0,0,0,0,,733,414,517,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
295ea250-d0b1-11ed-b7e6-811a63f9aa74-5,0,0,0,0,,798,630,662,BAIXO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
297e41c0-7f31-11ef-bfc9-4deb2e0b393e-1,1,0,1,0,gratis_voltou_pago,797,453,510,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
2a4fb6a0-0efc-11f0-a644-7bf79a0262c0-1,0,0,0,0,,835,537,589,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
2b190390-0d5b-11f0-a0f2-33b3317f42bf-1,1,1,1,1,saiu_de_vez,585,504,521,MEDIO,MEDIO,MEDIO,BAIXO,MEDIO,MEDIO
2b474f00-804f-11ef-adca-2b63c001fb66-1,0,0,0,0,,619,516,528,BAIXO,MEDIO,MEDIO,BAIXO,MEDIO,MEDIO
2b5837d0-5f9d-11ee-8808-1548de56ed73-2,1,0,1,0,gratis_voltou_pago,815,559,626,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
2bd54630-0ef1-11f0-aacb-b568c949a14a-1,0,0,0,0,,725,597,671,BAIXO,MEDIO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
2c980d70-0f53-11f0-a239-4f2f1b08032a-1,0,0,0,0,,823,546,659,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
2cf6c570-7fdb-11ef-9ab7-f18cb3877f41-2,0,0,0,0,,745,552,566,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
2d647670-7f4e-11ef-b51b-d7fc8a20a931-1,1,0,1,1,gratis_saiu,753,502,568,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
2da86360-7ff5-11ef-9a03-23df96a25dde-2,0,0,0,0,,879,732,778,SEGURO,BAIXO,BAIXO,SEGURO,MUITO BAIXO,MUITO BAIXO
2dc90ee0-0e4c-11f0-a28a-53162498e80e-1,1,0,1,0,gratis_voltou_pago,767,409,506,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
2ddb78e0-0e61-11f0-8d5a-79fc80b42a26-1,1,0,1,1,gratis_saiu,572,413,443,MEDIO,MEDIO,MEDIO,BAIXO,ALTO,MEDIO
2dfa0410-7f6c-11ef-bcf6-3941fca9dcfe-1,1,0,1,1,gratis_saiu,773,414,459,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
2e1c7cc0-8007-11ef-822e-b51a6a50b213-2,0,0,0,0,,866,663,734,SEGURO,BAIXO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
2f4dc850-0f37-11f0-8af3-872a153e6ca0-1,0,0,0,0,,833,639,723,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
2f70bff0-7ff8-11ef-926b-87876f0062f7-1,0,0,0,0,,756,431,498,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
2fea3440-0e17-11f0-b1d0-13194b378ef6-1,1,1,1,1,saiu_de_vez,787,561,619,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
30415440-0f30-11f0-9106-ab9879b4eb96-1,0,0,0,0,,785,506,565,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
308e0550-9d25-11f0-a81b-f5472dec0b65-1,1,0,0,0,voltou_pago,528,343,356,MEDIO,ALTO,ALTO,MEDIO,ALTO,ALTO
30903c30-0eaf-11f0-9609-3f3284dea303-1,0,0,0,0,,826,470,548,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
3094a5f0-9abd-11f0-94df-ddb3877bd0d8-1,1,1,1,1,saiu_de_vez,748,360,421,BAIXO,ALTO,MEDIO,MUITO BAIXO,ALTO,ALTO
309b6e60-8026-11ef-b0b5-6d0ef078b31e-2,0,0,0,0,,671,532,573,BAIXO,MEDIO,MEDIO,BAIXO,MEDIO,BAIXO
309e2ad0-7ee4-11ef-a854-057e74f1a032-1,1,0,1,1,gratis_saiu,714,363,409,BAIXO,ALTO,MEDIO,BAIXO,ALTO,ALTO
31222410-7f35-11ef-9a28-977e3adc807c-1,1,0,1,1,gratis_saiu,902,601,739,SEGURO,BAIXO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
31b9ebb0-7f3f-11ef-8527-bd06b98f63c0-1,1,1,1,1,saiu_de_vez,830,493,585,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
32310540-608e-11ee-aa6f-d195fbdf2183-4,0,0,0,0,,727,545,542,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
32e95530-f04b-11ee-bea6-af091e4d1e00-3,0,0,0,0,,754,643,695,BAIXO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
332b4940-7f2f-11ef-96c3-9593d0a5b26a-1,1,0,1,0,gratis_voltou_pago,792,470,525,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
337a2180-f061-11ee-814c-a94c186063a1-3,0,0,0,0,,840,711,763,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,MUITO BAIXO
338d7e60-0ef6-11f0-8d4e-0d668bbf8429-1,0,0,0,0,,777,553,603,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
3390d100-40f4-11ed-9f7f-fb1ac46e0100-3,1,0,0,0,voltou_pago,920,732,825,SEGURO,BAIXO,SEGURO,SEGURO,MUITO BAIXO,MUITO BAIXO
33946ce0-7f93-11ef-9b62-11c19ca93585-1,1,1,1,1,saiu_de_vez,815,474,604,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
33d92320-7ff8-11ef-b5ea-6787d69c73f6-1,0,0,0,0,,810,532,579,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
33f24e40-7fe9-11ef-84e5-4f6554b95abd-1,0,0,0,0,,803,477,560,SEGURO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
34445f10-f050-11ee-86fa-c7747f0e58c5-3,0,0,0,0,,818,659,685,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
34849110-0d60-11f0-a0b8-69633a395443-1,1,0,1,1,gratis_saiu,798,497,532,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
34d998e0-7f58-11ef-a352-21be9147e8eb-1,1,1,1,1,saiu_de_vez,837,542,641,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
351855b0-7fff-11ef-88e2-254d60b4b16d-1,0,0,0,0,,832,686,846,SEGURO,BAIXO,SEGURO,MUITO BAIXO,BAIXO,MUITO BAIXO
35f9cd10-b06d-11ec-8980-2b3814ff78d5-7,1,0,1,1,gratis_saiu,757,560,577,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
363578a0-0f11-11f0-9886-6b96d133aeea-1,0,0,0,0,,777,553,603,BAIXO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
3654ca10-0e59-11f0-ba29-995b84ebe309-1,1,1,1,1,saiu_de_vez,734,474,567,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
377572d0-7fef-11ef-9a03-23df96a25dde-1,0,0,0,0,,828,533,643,SEGURO,MEDIO,BAIXO,MUITO BAIXO,MEDIO,BAIXO
377dec80-0c03-11f0-911d-ab0b15f52961-1,1,1,1,1,saiu_de_vez,740,458,475,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
37b3cba0-8000-11ef-822e-b51a6a50b213-1,0,0,0,0,,800,484,596,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
380ea070-0f48-11f0-b102-efd707d44fe5-1,0,0,0,0,,631,546,561,BAIXO,MEDIO,MEDIO,BAIXO,MEDIO,MEDIO
38f48ce0-0ef6-11f0-8d4e-0d668bbf8429-1,0,0,0,0,,781,494,594,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
